subject_code,year,session,paper_number,variant,question_number,topic_name
9702,2024,June,1,1,15,Physical Quantities and Units
9702,2024,June,1,1,16,Physical Quantities and Units
9702,2024,June,1,1,17,Physical Quantities and Units
9702,2024,June,1,1,18,Physical Quantities and Units
9702,2024,June,1,1,19,Physical Quantities and Units
9702,2024,June,1,1,20,Physical Quantities and Units
9702,2024,June,1,1,21,Physical Quantities and Units
9702,2024,June,1,1,22,Physical Quantities and Units
9702,2024,June,1,1,23,Physical Quantities and Units
9702,2024,June,1,1,24,Physical Quantities and Units
9702,2024,June,1,1,25,Physical Quantities and Units
9702,2024,June,1,1,26,Physical Quantities and Units
9702,2024,June,1,1,27,Physical Quantities and Units
9702,2024,June,1,1,28,Physical Quantities and Units
9702,2024,June,1,1,29,Physical Quantities and Units
9702,2024,June,1,1,30,Physical Quantities and Units
9702,2024,June,1,1,31,Physical Quantities and Units
9702,2024,June,1,1,32,Physical Quantities and Units
9702,2024,June,1,1,33,Physical Quantities and Units
9702,2024,June,1,1,34,Physical Quantities and Units
9702,2024,June,1,1,35,Physical Quantities and Units
9702,2024,June,1,1,36,Physical Quantities and Units
9702,2024,June,1,1,37,Physical Quantities and Units
9702,2024,June,1,1,38,Physical Quantities and Units
9702,2024,June,1,1,39,Physical Quantities and Units
9702,2024,June,1,1,40,Physical Quantities and Units
9702,2024,June,4,1,1,Gravitational Fields
9702,2024,June,4,1,2,Electricity
9702,2024,June,4,1,3,"Work, Energy and Power"
9702,2024,June,4,1,4,Waves
9702,2024,June,4,1,5,Electric Fields
9702,2024,June,4,1,8,Medical Physics
9702,2024,June,4,1,9,Nuclear Physics
9702,2024,November,4,1,1,Dynamics
9702,2024,November,4,1,2,Temperature
9702,2024,November,4,1,4,Oscillations
9702,2024,November,4,1,6,Waves
9702,2024,November,4,1,10,Astronomy and Cosmology
9702,2024,November,1,1,1,Physical Quantities and Units
9702,2024,November,1,1,2,Physical Quantities and Units
9702,2024,November,1,1,3,Physical Quantities and Units
9702,2024,November,1,1,4,Physical Quantities and Units
9702,2024,November,1,1,5,Physical Quantities and Units
9702,2024,November,1,1,6,Physical Quantities and Units
9702,2024,November,1,1,7,Physical Quantities and Units
9702,2024,November,1,1,8,Physical Quantities and Units
9702,2024,November,1,1,9,Physical Quantities and Units
9702,2024,November,1,1,10,Physical Quantities and Units
9702,2024,November,1,1,11,Physical Quantities and Units
9702,2024,November,1,1,12,Physical Quantities and Units
9702,2024,November,1,1,13,Physical Quantities and Units
9702,2024,November,1,1,14,Physical Quantities and Units
9702,2024,November,1,1,15,Physical Quantities and Units
9702,2024,November,1,1,16,Physical Quantities and Units
9702,2024,November,1,1,17,Physical Quantities and Units
9702,2024,November,1,1,18,Physical Quantities and Units
9702,2024,November,1,1,19,Physical Quantities and Units
9702,2024,November,1,1,20,Physical Quantities and Units
9702,2024,November,1,1,21,Physical Quantities and Units
9702,2024,November,1,1,22,Physical Quantities and Units
9702,2024,November,1,1,23,Physical Quantities and Units
9702,2024,November,1,1,24,Physical Quantities and Units
9702,2024,November,1,1,25,Physical Quantities and Units
9702,2024,November,1,1,26,Physical Quantities and Units
9702,2024,November,1,1,27,Physical Quantities and Units
9702,2024,November,1,1,28,Physical Quantities and Units
9702,2024,November,1,1,29,Physical Quantities and Units
9702,2024,November,1,1,30,Physical Quantities and Units
9702,2024,November,1,1,31,Physical Quantities and Units
9702,2024,November,1,1,32,Physical Quantities and Units
9702,2024,November,1,1,33,Physical Quantities and Units
9702,2024,November,1,1,34,Physical Quantities and Units
9702,2024,November,1,1,35,Physical Quantities and Units
9702,2024,November,1,1,36,Physical Quantities and Units
9702,2024,November,1,1,37,Physical Quantities and Units
9702,2024,November,1,1,38,Physical Quantities and Units
9702,2024,November,1,1,39,Physical Quantities and Units
9702,2024,November,1,1,40,Physical Quantities and Units
9702,2024,November,2,1,1,"Forces, Density and Pressure"
9702,2024,November,2,1,2,Kinematics
9702,2024,November,2,1,3,"Work, Energy and Power"
9702,2024,November,2,1,4,Deformation of Solids
9702,2024,November,2,1,6,Superposition
9702,2024,November,2,1,7,Physical Quantities and Units
9702,2024,November,1,3,1,Physical Quantities and Units
9702,2024,November,1,3,2,Physical Quantities and Units
9702,2024,November,1,3,3,Physical Quantities and Units
9702,2024,November,1,3,4,Physical Quantities and Units
9702,2024,November,1,3,5,Physical Quantities and Units
9702,2024,November,1,3,6,Physical Quantities and Units
9702,2024,November,1,3,7,Physical Quantities and Units
9702,2024,November,1,3,8,Physical Quantities and Units
9702,2024,November,1,3,9,Physical Quantities and Units
9702,2024,November,1,3,10,Physical Quantities and Units
9702,2024,November,1,3,11,Physical Quantities and Units
9702,2024,November,1,3,12,Physical Quantities and Units
9702,2024,November,1,3,13,Physical Quantities and Units
9702,2024,November,1,3,14,Physical Quantities and Units
9702,2024,November,1,3,15,Physical Quantities and Units
9702,2024,November,1,3,16,Physical Quantities and Units
9702,2024,November,1,3,17,Physical Quantities and Units
9702,2024,November,1,3,18,Physical Quantities and Units
9702,2024,November,1,3,19,Physical Quantities and Units
9702,2024,November,1,3,20,Physical Quantities and Units
9702,2024,November,1,3,21,Physical Quantities and Units
9702,2024,November,1,3,22,Physical Quantities and Units
9702,2024,November,1,3,23,Physical Quantities and Units
9702,2024,November,1,3,24,Physical Quantities and Units
9702,2024,November,1,3,25,Physical Quantities and Units
9702,2024,November,1,3,26,Physical Quantities and Units
9702,2024,November,1,3,27,Physical Quantities and Units
9702,2024,November,1,3,28,Physical Quantities and Units
9702,2024,November,1,3,29,Physical Quantities and Units
9702,2024,November,1,3,30,Physical Quantities and Units
9702,2024,November,1,3,31,Physical Quantities and Units
9702,2024,November,1,3,32,Physical Quantities and Units
9702,2024,November,1,3,33,Physical Quantities and Units
9702,2024,November,1,3,34,Physical Quantities and Units
9702,2024,November,1,3,35,Physical Quantities and Units
9702,2024,November,1,3,36,Physical Quantities and Units
9702,2024,November,1,3,37,Physical Quantities and Units
9702,2024,November,1,3,38,Physical Quantities and Units
9702,2024,November,1,3,39,Physical Quantities and Units
9702,2024,November,1,3,40,Physical Quantities and Units
9702,2024,November,4,3,1,Kinematics
9702,2024,November,4,3,2,Temperature
9702,2024,November,4,3,4,Oscillations
9702,2024,November,4,3,6,Alternating Currents
9702,2024,November,4,3,7,Magnetic Fields
9702,2024,November,4,3,10,Astronomy and Cosmology
9702,2024,November,2,3,1,Kinematics
9702,2024,November,2,3,2,Dynamics
9702,2024,November,2,3,3,Physical Quantities and Units
9702,2024,November,2,3,5,Waves
9702,2024,November,2,3,6,D.C. Circuits
9702,2025,November,1,1,1,Physical Quantities and Units
9702,2025,November,1,1,2,Physical Quantities and Units
9702,2025,November,1,1,3,Physical Quantities and Units
9702,2025,November,1,1,4,Physical Quantities and Units
9702,2025,November,1,1,5,Physical Quantities and Units
9702,2025,November,1,1,6,Physical Quantities and Units
9702,2025,November,1,1,7,Physical Quantities and Units
9702,2025,November,1,1,8,Physical Quantities and Units
9702,2025,November,1,1,9,Physical Quantities and Units
